2025-11-10 11:04:09 | INFO     | moodle_feedback | ============================================================
2025-11-10 11:04:09 | INFO     | moodle_feedback | ESTADÍSTICAS DEL CACHÉ
2025-11-10 11:04:09 | INFO     | moodle_feedback | ============================================================
2025-11-10 11:04:09 | INFO     | moodle_feedback | Total de entregas en caché: 2863
2025-11-10 11:04:09 | INFO     | moodle_feedback | Por estado: {'processed': 2863}
2025-11-10 11:04:09 | INFO     | moodle_feedback | ============================================================

2025-11-10 11:04:09 | INFO     | moodle_feedback | Processing Course: Programación (DAM/DAW) (ID: 130)
2025-11-10 11:04:10 | INFO     | moodle_feedback | 
Encontradas 10 tareas de asignación en el curso
2025-11-10 11:04:10 | INFO     | moodle_feedback | 
------------------------------------------------------------
2025-11-10 11:04:10 | INFO     | moodle_feedback | ASIGNACIÓN: PROG00 Tarea Práctica 01. Corrige y ejecuta un programa en Java (ID: 1948)
2025-11-10 11:04:10 | INFO     | moodle_feedback | ------------------------------------------------------------
2025-11-10 11:04:11 | DEBUG    | moodle_feedback |   ○ mardanza (ID: 74) - SIN CAMBIOS (omitida)
2025-11-10 11:04:11 | DEBUG    | moodle_feedback |   ○ nsansaturnino (ID: 82) - SIN CAMBIOS (omitida)
2025-11-10 11:04:11 | DEBUG    | moodle_feedback |   ○ damdaw_ikaslea (ID: 93) - SIN CAMBIOS (omitida)
2025-11-10 11:04:12 | DEBUG    | moodle_feedback |   ○ maldalur (ID: 170) - SIN CAMBIOS (omitida)
2025-11-10 11:04:12 | DEBUG    | moodle_feedback |   ○ hbrito (ID: 224) - SIN CAMBIOS (omitida)
2025-11-10 11:04:13 | DEBUG    | moodle_feedback |   ○ arhernando (ID: 257) - SIN CAMBIOS (omitida)
2025-11-10 11:04:13 | DEBUG    | moodle_feedback |   ○ mimitrasca (ID: 268) - SIN CAMBIOS (omitida)
2025-11-10 11:04:13 | DEBUG    | moodle_feedback |   ○ ajuanena (ID: 308) - SIN CAMBIOS (omitida)
2025-11-10 11:04:13 | DEBUG    | moodle_feedback |   ○ dramos (ID: 317) - SIN CAMBIOS (omitida)
2025-11-10 11:04:13 | DEBUG    | moodle_feedback |   ○ edlopez (ID: 319) - SIN CAMBIOS (omitida)
2025-11-10 11:04:14 | DEBUG    | moodle_feedback |   ○ iperea (ID: 328) - SIN CAMBIOS (omitida)
2025-11-10 11:04:14 | DEBUG    | moodle_feedback |   ○ jlandaburu (ID: 373) - SIN CAMBIOS (omitida)
2025-11-10 11:04:14 | DEBUG    | moodle_feedback |   ○ albravo (ID: 384) - SIN CAMBIOS (omitida)
2025-11-10 11:04:15 | DEBUG    | moodle_feedback |   ○ mcortazar (ID: 406) - SIN CAMBIOS (omitida)
2025-11-10 11:04:15 | DEBUG    | moodle_feedback |   ○ lwareham (ID: 407) - SIN CAMBIOS (omitida)
2025-11-10 11:04:15 | DEBUG    | moodle_feedback |   ○ mvaltierra (ID: 457) - SIN CAMBIOS (omitida)
2025-11-10 11:04:15 | DEBUG    | moodle_feedback |   ○ jvillar (ID: 470) - SIN CAMBIOS (omitida)
2025-11-10 11:04:16 | DEBUG    | moodle_feedback |   ○ anmendoza (ID: 479) - SIN CAMBIOS (omitida)
2025-11-10 11:04:16 | DEBUG    | moodle_feedback |   ○ earaujo (ID: 483) - SIN CAMBIOS (omitida)
2025-11-10 11:04:17 | DEBUG    | moodle_feedback |   ○ misalazar (ID: 624) - SIN CAMBIOS (omitida)
2025-11-10 11:04:17 | DEBUG    | moodle_feedback |   ○ mcostoya (ID: 629) - SIN CAMBIOS (omitida)
2025-11-10 11:04:17 | DEBUG    | moodle_feedback |   ○ mgranada (ID: 640) - SIN CAMBIOS (omitida)
2025-11-10 11:04:18 | DEBUG    | moodle_feedback |   ○ jsanz (ID: 709) - SIN CAMBIOS (omitida)
2025-11-10 11:04:18 | DEBUG    | moodle_feedback |   ○ osojo (ID: 732) - SIN CAMBIOS (omitida)
2025-11-10 11:04:18 | DEBUG    | moodle_feedback |   ○ unaimartinez2 (ID: 757) - SIN CAMBIOS (omitida)
2025-11-10 11:04:19 | DEBUG    | moodle_feedback |   ○ gjara (ID: 768) - SIN CAMBIOS (omitida)
2025-11-10 11:04:19 | DEBUG    | moodle_feedback |   ○ asetien (ID: 771) - SIN CAMBIOS (omitida)
2025-11-10 11:04:19 | DEBUG    | moodle_feedback |   ○ nfredes (ID: 803) - SIN CAMBIOS (omitida)
2025-11-10 11:04:19 | DEBUG    | moodle_feedback |   ○ xdiez (ID: 804) - SIN CAMBIOS (omitida)
2025-11-10 11:04:20 | DEBUG    | moodle_feedback |   ○ alemoreno (ID: 824) - SIN CAMBIOS (omitida)
2025-11-10 11:04:20 | DEBUG    | moodle_feedback |   ○ efrancos (ID: 846) - SIN CAMBIOS (omitida)
2025-11-10 11:04:20 | DEBUG    | moodle_feedback |   ○ tcabarcos (ID: 870) - SIN CAMBIOS (omitida)
2025-11-10 11:04:20 | DEBUG    | moodle_feedback |   ○ davmartinez (ID: 887) - SIN CAMBIOS (omitida)
2025-11-10 11:04:21 | DEBUG    | moodle_feedback |   ○ aiferrero (ID: 903) - SIN CAMBIOS (omitida)
2025-11-10 11:04:21 | DEBUG    | moodle_feedback |   ○ ulaso (ID: 912) - SIN CAMBIOS (omitida)
